jid,name
Atlanta United FC,Atlanta United FC
Chicago Fire,Chicago Fire
Columbus Crew SC,Columbus Crew SC
D.C. United,D.C. United
Montreal Impact,Montreal Impact
New England Revolution,New England Revolution
New York City FC,New York City FC
New York Red Bulls,New York Red Bulls
Orlando City SC,Orlando City SC
Philadelphia Union,Philadelphia Union
Toronto FC,Toronto FC
Colorado Rapids,Colorado Rapids
FC Dallas,FC Dallas
Houston Dynamo,Houston Dynamo
LA Galaxy,LA Galaxy
Los Angeles FC,Los Angeles FC
Minnesota United FC,Minnesota United FC
Portland Timbers,Portland Timbers
Real Salt Lake,Real Salt Lake
San Jose Earthquakes,San Jose Earthquakes
Seattle Sounders FC,Seattle Sounders FC
Sporting Kansas City,Sporting Kansas City
Vancouver Whitecaps FC,Vancouver Whitecaps FC
Arsenal,Arsenal
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Brighton & Hove Albion,Brighton & Hove Albion
Burnley,Burnley
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Leicester City,Leicester City
Liverpool,Liverpool
Manchester City,Manchester City
Manchester United,Manchester United
Newcastle United,Newcastle United
Norwich City,Norwich City
Sheffield United,Sheffield United
Southampton,Southampton
Tottenham Hotspur,Tottenham Hotspur
Watford,Watford
West Ham United,West Ham United
Wolverhampton Wanderers,Wolverhampton Wanderers